Equipo,J,G,P,Pct,Dif,Casa,Ruta,Racha,U10,X1,EX,CA,CP,DC,Último Juego,Temporada,Etapa
Aguilas Cibaeñas,50,32,18,0.64,0.0,17-8,15-10,G-1,6-4,8-8,6-2,263,202,61,,2012,Serie Regular
Estrellas Orientales,50,30,20,0.6,2.0,15-10,15-10,P-3,4-6,10-6,3-1,249,238,11,,2012,Serie Regular
Toros del Este,50,23,27,0.46,9.0,10-15,13-12,G-2,3-7,7-6,0-3,224,247,-23,,2012,Serie Regular
Leones del Escogido,51,23,28,0.451,9.5,12-14,11-14,G-4,7-3,7-12,2-6,256,252,4,,2012,Serie Regular
Gigantes del Cibao,51,22,29,0.431,10.5,10-15,12-14,P-3,3-7,5-10,4-2,247,266,-19,,2012,Serie Regular
Tigres del Licey,50,21,29,0.42,11.0,11-14,10-15,P-1,6-4,11-6,4-5,245,279,-34,,2012,Serie Regular
Aguilas Cibaeñas,17,11,6,0.647,0.0,4-5,7-1,G-2,7-3,4-1,2-0,84,69,15,,2012,Serie Semifinal
Leones del Escogido,17,10,7,0.588,1.0,4-4,6-3,G-1,6-4,2-2,0-0,83,70,13,,2012,Serie Semifinal
Toros del Este,17,8,9,0.471,3.0,3-5,5-4,P-2,4-6,2-7,0-2,71,58,13,,2012,Serie Semifinal
Estrellas Orientales,17,5,12,0.294,6.0,2-7,3-5,G-2,3-7,4-2,1-1,54,95,-41,,2012,Serie Semifinal
Leones del Escogido,5,5,0,1.0,0.0,2-0,3-0,G-5,5-0,1-0,2-0,33,14,19,,2012,Serie Final
Aguilas Cibaeñas,5,0,5,0.0,5.0,0-3,0-2,P-5,0-5,0-1,0-2,14,33,-19,,2012,Serie Final
Leones del Escogido,50,31,19,0.62,0.0,18-7,13-12,G-1,6-4,10-4,8-7,203,162,41,"21/12/2013 @ GC,  W 2-0",2013,Serie Regular
Aguilas Cibaeñas,50,31,19,0.62,0.0,17-8,14-11,G-3,6-4,6-9,7-3,237,179,58,"22/12/2013 @ TE,  W 3-0",2013,Serie Regular
Tigres del Licey,50,29,21,0.58,2.0,16-9,13-12,G-2,6-4,8-10,8-9,206,174,32,"21/12/2013 @ TE,  W 0-4",2013,Serie Regular
Gigantes del Cibao,50,22,28,0.44,9.0,9-16,13-12,P-1,4-6,7-9,4-8,209,193,16,"21/12/2013 @ LE,  L 2-0",2013,Serie Regular
Estrellas Orientales,50,19,31,0.38,12.0,12-13,7-18,P-2,5-5,7-10,6-7,173,227,-54,"21/12/2013 @ AC,  L 3-1",2013,Serie Regular
Toros del Este,50,18,32,0.36,13.0,10-15,8-17,P-3,3-7,12-8,6-5,150,243,-93,"22/12/2013 @ AC,  L 3-0",2013,Serie Regular
Leones del Escogido,18,11,7,0.611,0.0,5-4,6-3,P-2,5-5,3-2,2-2,68,50,18,"17/01/2014 @ TL,  L 6-1",2013,Serie Semifinal
Tigres del Licey,19,10,9,0.526,1.5,4-5,6-4,G-2,5-5,2-2,1-2,71,83,-12,"18/01/2014 @ GC,  W 9-8",2013,Serie Semifinal
Gigantes del Cibao,19,9,10,0.474,2.5,4-6,5-4,P-1,6-4,4-3,2-1,68,70,-2,"18/01/2014 @ TL,  L 9-8",2013,Serie Semifinal
Aguilas Cibaeñas,18,7,11,0.389,4.0,5-4,2-7,P-1,4-6,2-4,0-0,72,76,-4,"17/01/2014 @ GC,  L 5-6",2013,Serie Semifinal
Tigres del Licey,8,5,3,0.625,0.0,2-2,3-1,G-2,5-3,3-1,2-1,25,28,-3,"28/01/2014 @ LE,  W 2-3",2013,Serie Final
Leones del Escogido,8,3,5,0.375,2.0,1-3,2-2,P-2,3-5,1-3,1-2,28,25,3,"28/01/2014 @ TL,  L 2-3",2013,Serie Final
